หมายเลขงบ,ชื่องบ,จำนวนรวม,หมายเลขงบแผนงาน,แผนงาน,งบแผนงาน,dname,ประเภทแผนงาน,OBJECTID,AREA,dcode,dname_e,pcode,pname,num_male,num_female,num_school,num_hos,num_comm,num_temple,num_health
42,สำนักงานเขตหนองแขม,420905400,,รายจ่ายประจำ,420905400,หนองแขม,ทั่วไป/บริหาร/อื่นๆ,56.0,36201384.0,1023.0,Nong Khaem,10.0,กรุงเทพมหานคร,70457.0,79828.0,6.0,1.0,71.0,7.0,1.0
43,สำนักงานเขตบางขุนเทียน,579297000,,รายจ่ายประจำ,579297000,บางขุนเทียน,ทั่วไป/บริหาร/อื่นๆ,69.0,122207808.0,1021.0,Bang Khun thain,10.0,กรุงเทพมหานคร,78811.0,86882.0,16.0,0.0,49.0,15.0,1.0
44,สำนักงานเขตราษฎร์บูรณะ,298729000,ข,แผนงานบริหารการคลัง,11723700,ราษฎร์บูรณะ,การคลัง,66.0,12333130.0,1024.0,Rat Burana,10.0,กรุงเทพมหานคร,41663.0,44980.0,6.0,0.0,28.0,7.0,2.0
45,สำนักงานเขตดอนเมือง,422753800,,รายจ่ายประจำ,422753800,ดอนเมือง,ทั่วไป/บริหาร/อื่นๆ,10.0,36691444.0,1036.0,Don Mueang,10.0,กรุงเทพมหานคร,83065.0,83570.0,6.0,0.0,92.0,8.0,1.0
46,สำนักงานเขตจตุจักร,534717800,,รายจ่ายประจำ,534717800,จตุจักร,ทั่วไป/บริหาร/อื่นๆ,20.0,32656716.0,1030.0,Chatu Chak,10.0,กรุงเทพมหานคร,75637.0,85216.0,7.0,0.0,41.0,2.0,1.0
47,สำนักงานเขตลาดพร้าว,376722000,,รายจ่ายประจำ,376722000,ลาดพร้าว,ทั่วไป/บริหาร/อื่นๆ,23.0,21266434.0,1038.0,Lat Phrao,10.0,กรุงเทพมหานคร,55721.0,66431.0,6.0,0.0,34.0,4.0,1.0
48,สำนักงานเขตบึงกุ่ม,354848700,,รายจ่ายประจำ,354848700,บึงกุ่ม,ทั่วไป/บริหาร/อื่นๆ,25.0,23404956.0,1027.0,Bueng Kum,10.0,กรุงเทพมหานคร,67066.0,78729.0,8.0,0.0,38.0,5.0,1.0
49,สำนักงานเขตสาทร,305809000,,รายจ่ายประจำ,305809000,สาทร,ทั่วไป/บริหาร/อื่นๆ,58.0,7259143.0,1028.0,Sathon,10.0,กรุงเทพมหานคร,40560.0,44488.0,2.0,0.0,25.0,3.0,1.0
50,สำนักงานเขตบางคอแหลม,306933000,,รายจ่ายประจำ,306933000,บางคอแหลม,ทั่วไป/บริหาร/อื่นๆ,63.0,8312167.0,1031.0,Bang Kho laen,10.0,กรุงเทพมหานคร,45548.0,49329.0,7.0,1.0,29.0,11.0,3.0
51,สำนักงานเขตบางซ่ือ,348972900,,รายจ่ายประจำ,348972900,บางซื่อ,ทั่วไป/บริหาร/อื่นๆ,24.0,12885789.0,1029.0,Bang Sue,10.0,กรุงเทพมหานคร,62623.0,69546.0,7.0,0.0,49.0,9.0,2.0
