Unnamed: 0,หมายเลขงบ,ชื่องบ,จำนวนรวม,หมายเลขงบแผนงาน,แผนงาน,งบแผนงาน,dname,province,zipcode,latitude,longitude,AREA,dcode,dname_e,pcode,num_male,num_female,num_school,num_hos,num_comm,num_temple,num_health
37,10,สำนักการระบายน้ำ,8213452000,ข,แผนงานพัฒนาระบบระบายน้ำ,2499271826,,,,,,,,,,,,,,,,
38,10,สำนักการระบายน้ำ,8213452000,ค,แผนงานจัดการระบายน้ำและแก้ไขปัญหาน้ำท่วม,2765737870,,,,,,,,,,,,,,,,
39,10,สำนักการระบายน้ำ,8213452000,ง,แผนงานจัดการคุณภาพน้ำ,2910472945,,,,,,,,,,,,,,,,
40,10,สำนักการระบายน้ำ,8213452000,,ริมคลองแสนแสบช่วงถนนวิทยุ-คลองตัน เข้าโรงควบคุมคุณภาพน้ำดินแดง,160804000,,,,,,,,,,,,,,,,
41,11,สำนักการคลัง,3606450400,,รายจ่ายประจำ,3606450400,,,,,,,,,,,,,,,,
42,11,สำนักการคลัง,3606450400,ก,แผนงานบริหารท่ัวไป: งานบริหารท่ัวไป,21528800,,,,,,,,,,,,,,,,
43,11,สำนักการคลัง,3606450400,ข,แผนงานบริหารการคลัง,3230030900,,,,,,,,,,,,,,,,
44,11,สำนักการคลัง,3606450400,ค,แผนงานส่งเสริมระบบบริหาร,354890700,,,,,,,,,,,,,,,,
45,12,สำนักเทศกิจ,184580000,,รายจ่ายประจำ,184580000,,,,,,,,,,,,,,,,
46,12,สำนักเทศกิจ,184580000,ก,แผนงานบริหารท่ัวไป: งานบริหารท่ัวไปด้านการรักษาความสะอาด,40694400,,,,,,,,,,,,,,,,
47,12,สำนักเทศกิจ,184580000,ข,แผนงานส่งเสริมระบบบริหาร: งานศูนย์วิทยุส่ือสารกรุงเทพมหานคร,27442200,,,,,,,,,,,,,,,,
48,12,สำนักเทศกิจ,184580000,ค,แผนงานพัฒนาและส่งเสริม: งานนโยบายและแผนงาน,12513700,,,,,,,,,,,,,,,,
49,12,สำนักเทศกิจ,184580000,ง,แผนงานรักษาความเป็นระเบียบเรียบร้อย,103929700,,,,,,,,,,,,,,,,
50,13,สำนักการจราจรและขนส่ง,4327231000,,รายจ่ายประจำ,4327231000,,,,,,,,,,,,,,,,
51,13,สำนักการจราจรและขนส่ง,4327231000,ก,แผนงานบริหารท่ัวไป: งานบริหารท่ัวไปด้านการโยธาและระบบจราจร,26537900,,,,,,,,,,,,,,,,
52,13,สำนักการจราจรและขนส่ง,4327231000,ข,แผนงานพัฒนาการใช้ท่ีดินและระบบจราจร,4300693100,,,,,,,,,,,,,,,,
53,13,สำนักการจราจรและขนส่ง,4327231000,,สายไฟฟ้าอากาศเป็นสายไฟฟ้าใต้ดินของการไฟฟ้านครหลวง บริเวณถนนรัชดาภิเษก - ถนนพระราม  และบริเวณถนนรัชดาภิเษก - ถนนอโศก,923119000,,,,,,,,,,,,,,,,
