หมายเลขงบ,ชื่องบ,แผนงาน,ชื่องบแจกแจง,หมายเลขงบแผนงาน,หมายเลขแจกแจงงบ,งบแจกแจง
46,สำนักงานเขตจตุจักร,แผนงานบริหารการคลัง,งานบริหารการคลัง,ข,1,5164800
46,สำนักงานเขตจตุจักร,แผนงานบริหารการคลัง,งานบริหารการจัดเก็บรายได้,ข,2,7565700
46,สำนักงานเขตจตุจักร,แผนงานพัฒนาชุมชน,งานพัฒนาชุมชน,ซ,1,27467100
46,สำนักงานเขตจตุจักร,แผนงานพัฒนาชุมชน,โครงการก่อสร้างอาคารศูนย์ฝึกอาชีพ  ชั้นสำนักงานเขตจตุจักร,ซ,2,59914300
47,สำนักงานเขตลาดพร้าว,แผนงานบริหารงานปกครองและทะเบียน,งานปกครอง,ก,1,21592600
47,สำนักงานเขตลาดพร้าว,แผนงานบริหารงานปกครองและทะเบียน,งานทะเบียน,ก,2,8481500
47,สำนักงานเขตลาดพร้าว,แผนงานบริหารการคลัง,งานบริหารการคลัง,ข,1,5720600
47,สำนักงานเขตลาดพร้าว,แผนงานบริหารการคลัง,งานบริหารการจัดเก็บรายได้,ข,2,5932200
47,สำนักงานเขตลาดพร้าว,แผนงานการโยธา,งานการโยธา,จ,1,46115400
47,สำนักงานเขตลาดพร้าว,แผนงานการโยธา,โครงการปรับปรุงซอยนาคนิวาส จากถนนนาคนิวาสถึงสุดระยะท่ีกำหนด,จ,2,488178000
48,สำนักงานเขตบึงกุ่ม,แผนงานบริหารงานปกครองและทะเบียน,งานปกครอง,ก,1,19631400
48,สำนักงานเขตบึงกุ่ม,แผนงานบริหารงานปกครองและทะเบียน,งานทะเบียน,ก,2,6746500
48,สำนักงานเขตบึงกุ่ม,แผนงานบริหารการคลัง,งานบริหารการคลัง,ข,1,6171100
48,สำนักงานเขตบึงกุ่ม,แผนงานบริหารการคลัง,งานบริหารการจัดเก็บรายได้,ข,2,4456800
48,สำนักงานเขตบึงกุ่ม,แผนงานบริหารการศึกษา,งานบริหารการศึกษา,ญ,1,75695100
48,สำนักงานเขตบึงกุ่ม,แผนงานบริหารการศึกษา,โครงการก่อสร้างอาคารบ้านพักครู คสล  ชั้น,ญ,2,47720000
49,โรงเรียนประภาสวิทยา สำนักงานเขตสาทร,แผนงานบริหารงานปกครองและทะเบียน,งานปกครอง,ก,1,23824000
49,โรงเรียนประภาสวิทยา สำนักงานเขตสาทร,แผนงานบริหารงานปกครองและทะเบียน,งานทะเบียน,ก,2,6897800
49,โรงเรียนประภาสวิทยา สำนักงานเขตสาทร,แผนงานบริหารการคลัง,งานบริหารการคลัง,ข,1,5611000
49,โรงเรียนประภาสวิทยา สำนักงานเขตสาทร,แผนงานบริหารการคลัง,งานบริหารการจัดเก็บรายได้,ข,2,5220600
50,สำนักงานเขตบางคอแหลม,แผนงานบริหารงานปกครองและทะเบียน,งานปกครอง,ก,1,17827800
50,สำนักงานเขตบางคอแหลม,แผนงานบริหารงานปกครองและทะเบียน,งานทะเบียน,ก,2,7357800
50,สำนักงานเขตบางคอแหลม,แผนงานบริหารการคลัง,งานบริหารการคลัง,ข,1,5408000
50,สำนักงานเขตบางคอแหลม,แผนงานบริหารการคลัง,งานบริหารการจัดเก็บรายได้,ข,2,5147500
50,สำนักงานเขตบางคอแหลม,,งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม,,1,12776500
50,สำนักงานเขตบางคอแหลม,,โครงการก่อสร้างเข่ือน คสล (ดาดท้องคลอง)คลองบางโคล่สารจากถนนพระรามท่ี  ถึงจุดท่ีกำหนดให้,,2,312000000
51,สำนักงานเขตบางซ่ือ,แผนงานบริหารงานปกครองและทะเบียน,งานปกครอง,ก,1,23395300
51,สำนักงานเขตบางซ่ือ,แผนงานบริหารงานปกครองและทะเบียน,งานทะเบียน,ก,2,9197500
51,สำนักงานเขตบางซ่ือ,แผนงานบริหารการคลัง,งานบริหารการคลัง,ข,1,6042900
51,สำนักงานเขตบางซ่ือ,แผนงานบริหารการคลัง,งานบริหารการจัดเก็บรายได้,ข,2,4843100
52,สำนักงานเขตราชเทวี,แผนงานบริหารงานปกครองและทะเบียน,งานปกครอง,ก,1,21196600
52,สำนักงานเขตราชเทวี,แผนงานบริหารงานปกครองและทะเบียน,งานทะเบียน,ก,2,7299700
52,สำนักงานเขตราชเทวี,แผนงานบริหารการคลัง,งานบริหารการคลัง,ข,1,14028300
52,สำนักงานเขตราชเทวี,แผนงานบริหารการคลัง,งานบริหารการจัดเก็บรายได้,ข,2,5818100
53,สำนักงานเขตคลองเตย,แผนงานบริหารงานปกครองและทะเบียน,งานปกครอง,ก,1,22156500
53,สำนักงานเขตคลองเตย,แผนงานบริหารงานปกครองและทะเบียน,งานทะเบียน,ก,2,7806900
53,สำนักงานเขตคลองเตย,แผนงานบริหารการคลัง,งานบริหารการคลัง,ข,1,4598000
53,สำนักงานเขตคลองเตย,แผนงานบริหารการคลัง,งานบริหารการจัดเก็บรายได้,ข,2,5143700
53,สำนักงานเขตคลองเตย,แผนงานการโยธา,งานการโยธา,จ,1,16747614
53,สำนักงานเขตคลองเตย,แผนงานการโยธา,โครงการปรับปรุงซอยสุขุมวิท  จากถนนสุขุมวิท ถึงถนนพระรามท่ี,จ,2,36418267666
54,สำนักงานเขตประเวศ,แผนงานบริหารงานปกครองและทะเบียน,งานปกครอง,ก,1,47301300
54,สำนักงานเขตประเวศ,แผนงานบริหารงานปกครองและทะเบียน,งานทะเบียน,ก,2,8615400
54,สำนักงานเขตประเวศ,แผนงานบริหารการคลัง,งานบริหารการคลัง,ข,1,5478500
54,สำนักงานเขตประเวศ,แผนงานบริหารการคลัง,งานบริหารการจัดเก็บรายได้,ข,2,5930300
55,สำนักงานเขตบางพลัด,แผนงานบริหารงานปกครองและทะเบียน,งานปกครอง,ก,1,17958600
55,สำนักงานเขตบางพลัด,แผนงานบริหารงานปกครองและทะเบียน,งานทะเบียน,ก,2,8125600
55,สำนักงานเขตบางพลัด,แผนงานบริหารการคลัง,งานบริหารการคลัง,ข,1,6774400
55,สำนักงานเขตบางพลัด,แผนงานบริหารการคลัง,งานบริหารการจัดเก็บรายได้,ข,2,6107000
56,สำนักงานเขตจอมทอง,แผนงานบริหารงานปกครองและทะเบียน,งานปกครอง,ก,1,18949600
56,สำนักงานเขตจอมทอง,แผนงานบริหารงานปกครองและทะเบียน,งานทะเบียน,ก,2,8416700
56,สำนักงานเขตจอมทอง,แผนงานบริหารการคลัง,งานบริหารการคลัง,ข,1,6345600
56,สำนักงานเขตจอมทอง,แผนงานบริหารการคลัง,งานบริหารการจัดเก็บรายได้,ข,2,5492700
57,สำนักงานเขตดินแดง,แผนงานบริหารงานปกครองและทะเบียน,งานปกครอง,ก,1,17993000
57,สำนักงานเขตดินแดง,แผนงานบริหารงานปกครองและทะเบียน,งานทะเบียน,ก,2,7938600
57,สำนักงานเขตดินแดง,แผนงานบริหารการคลัง,งานบริหารการคลัง,ข,1,5410500
57,สำนักงานเขตดินแดง,แผนงานบริหารการคลัง,งานบริหารการจัดเก็บรายได้,ข,2,6141300
58,สำนักงานเขตสวนหลวง,แผนงานบริหารงานปกครองและทะเบียน,งานปกครอง,ก,1,20293200
58,สำนักงานเขตสวนหลวง,แผนงานบริหารงานปกครองและทะเบียน,งานทะเบียน,ก,2,6911500
58,สำนักงานเขตสวนหลวง,แผนงานบริหารการคลัง,งานบริหารการคลัง,ข,1,6773900
58,สำนักงานเขตสวนหลวง,แผนงานบริหารการคลัง,งานบริหารการจัดเก็บรายได้,ข,2,4828900
59,สำนักงานเขตวัฒนา,แผนงานบริหารงานปกครองและทะเบียน,งานปกครอง,ก,1,26314300
59,สำนักงานเขตวัฒนา,แผนงานบริหารงานปกครองและทะเบียน,งานทะเบียน,ก,2,6309700
59,สำนักงานเขตวัฒนา,แผนงานบริหารการคลัง,งานบริหารการคลัง,ข,1,5470600
59,สำนักงานเขตวัฒนา,แผนงานบริหารการคลัง,งานบริหารการจัดเก็บรายได้,ข,2,6015700
60,สำนักงานเขตบางแค,แผนงานบริหารงานปกครองและทะเบียน,งานปกครอง,ก,1,18539900
60,สำนักงานเขตบางแค,แผนงานบริหารงานปกครองและทะเบียน,งานทะเบียน,ก,2,8419200
60,สำนักงานเขตบางแค,แผนงานบริหารการคลัง,งานบริหารการคลัง,ข,1,5793700
60,สำนักงานเขตบางแค,แผนงานบริหารการคลัง,งานบริหารการจัดเก็บรายได้,ข,2,5519600
61,สำนักงานเขตหลักส่ี,แผนงานบริหารงานปกครองและทะเบียน,งานปกครอง,ก,1,31279700
61,สำนักงานเขตหลักส่ี,แผนงานบริหารงานปกครองและทะเบียน,งานทะเบียน,ก,2,7419200
61,สำนักงานเขตหลักส่ี,แผนงานบริหารการคลัง,งานบริหารการคลัง,ข,1,5344900
61,สำนักงานเขตหลักส่ี,แผนงานบริหารการคลัง,งานบริหารการจัดเก็บรายได้,ข,2,5256100
62,สำนักงานเขตสายไหม,แผนงานบริหารงานปกครองและทะเบียน,งานปกครอง,ก,1,21181600
62,สำนักงานเขตสายไหม,แผนงานบริหารงานปกครองและทะเบียน,งานทะเบียน,ก,2,9270200
62,สำนักงานเขตสายไหม,แผนงานบริหารการคลัง,งานบริหารการคลัง,ข,1,5436400
62,สำนักงานเขตสายไหม,แผนงานบริหารการคลัง,งานบริหารการจัดเก็บรายได้,ข,2,4350900
63,สำนักงานเขตคันนายาว,แผนงานบริหารงานปกครองและทะเบียน,งานปกครอง,ก,1,24680900
63,สำนักงานเขตคันนายาว,แผนงานบริหารงานปกครองและทะเบียน,งานทะเบียน,ก,2,9090200
63,สำนักงานเขตคันนายาว,แผนงานบริหารการคลัง,งานบริหารการคลัง,ข,1,5840800
63,สำนักงานเขตคันนายาว,แผนงานบริหารการคลัง,งานบริหารการจัดเก็บรายได้,ข,2,4451700
64,สำนักงานเขตสะพานสูง,แผนงานบริหารงานปกครองและทะเบียน,งานปกครอง,ก,1,15340000
64,สำนักงานเขตสะพานสูง,แผนงานบริหารงานปกครองและทะเบียน,งานทะเบียน,ก,2,7230900
64,สำนักงานเขตสะพานสูง,แผนงานบริหารการคลัง,งานบริหารการคลัง,ข,1,5095900
64,สำนักงานเขตสะพานสูง,แผนงานบริหารการคลัง,งานบริหารการจัดเก็บรายได้,ข,2,4339800
64,สำนักงานเขตสะพานสูง,แผนงานบริหารการศึกษา,งานบริหารการศึกษา,ญ,1,47733900
64,สำนักงานเขตสะพานสูง,แผนงานบริหารการศึกษา,โครงการก่อสร้างอาคาร คสล  ชั้น โรงเรียนสุเหร่าซีรอ (ราษฎร์สามัคคี),ญ,2,33281000
65,สำนักงานเขตวังทองหลาง,แผนงานบริหารงานปกครองและทะเบียน,งานปกครอง,ก,1,19635100
65,สำนักงานเขตวังทองหลาง,แผนงานบริหารงานปกครองและทะเบียน,งานทะเบียน,ก,2,6630900
65,สำนักงานเขตวังทองหลาง,แผนงานบริหารการคลัง,งานบริหารการคลัง,ข,1,4771400
65,สำนักงานเขตวังทองหลาง,แผนงานบริหารการคลัง,งานบริหารการจัดเก็บรายได้,ข,2,4729400
66,สำนักงานเขตคลองสามวา,แผนงานบริหารงานปกครองและทะเบียน,งานปกครอง,ก,1,18458300
66,สำนักงานเขตคลองสามวา,แผนงานบริหารงานปกครองและทะเบียน,งานทะเบียน,ก,2,7395000
66,สำนักงานเขตคลองสามวา,แผนงานบริหารการคลัง,งานบริหารการคลัง,ข,1,6200700
66,สำนักงานเขตคลองสามวา,แผนงานบริหารการคลัง,งานบริหารการจัดเก็บรายได้,ข,2,5611200
66,สำนักงานเขตคลองสามวา,แผนงานบริหารการศึกษา,งานบริหารการศึกษา,ญ,1,144533400
66,สำนักงานเขตคลองสามวา,แผนงานบริหารการศึกษา,โครงการก่อสร้างอาคารเรียน  ชั้น,ญ,2,55000000
67,โรงเรียนวัดลำกะดาน สำนักงานเขตบางนา,แผนงานบริหารงานปกครองและทะเบียน,งานปกครอง,ก,1,18522800
67,โรงเรียนวัดลำกะดาน สำนักงานเขตบางนา,แผนงานบริหารงานปกครองและทะเบียน,งานทะเบียน,ก,2,6969600
67,โรงเรียนวัดลำกะดาน สำนักงานเขตบางนา,แผนงานบริหารการคลัง,งานบริหารการคลัง,ข,1,5061400
67,โรงเรียนวัดลำกะดาน สำนักงานเขตบางนา,แผนงานบริหารการคลัง,งานบริหารการจัดเก็บรายได้,ข,2,4716500
68,สำนักงานเขตทวีวัฒนา,แผนงานบริหารงานปกครองและทะเบียน,งานปกครอง,ก,1,17318300
68,สำนักงานเขตทวีวัฒนา,แผนงานบริหารงานปกครองและทะเบียน,งานทะเบียน,ก,2,7066000
68,สำนักงานเขตทวีวัฒนา,แผนงานบริหารการคลัง,งานบริหารการคลัง,ข,1,5253900
68,สำนักงานเขตทวีวัฒนา,แผนงานบริหารการคลัง,งานบริหารการจัดเก็บรายได้,ข,2,4764100
69,สำนักงานเขตทุ่งครุ,แผนงานบริหารงานปกครองและทะเบียน,งานปกครอง,ก,1,21728600
69,สำนักงานเขตทุ่งครุ,แผนงานบริหารงานปกครองและทะเบียน,งานทะเบียน,ก,2,6843300
69,สำนักงานเขตทุ่งครุ,แผนงานบริหารการคลัง,งานบริหารการคลัง,ข,1,5727000
69,สำนักงานเขตทุ่งครุ,แผนงานบริหารการคลัง,งานบริหารการจัดเก็บรายได้,ข,2,4380700
69,สำนักงานเขตทุ่งครุ,แผนงานการโยธา,งานการโยธา,จ,1,92811600
69,สำนักงานเขตทุ่งครุ,แผนงานการโยธา,โครงการก่อสร้างอาคารอเนกประสงค์  ชั้น โรงเรียนราษฎร์บูรณะ (มูฮำหมัดอุทิศ)สำนักงานเขตทุ่งครุ,จ,2,26084300
70,สำนักงานเขตบางบอน,แผนงานบริหารงานปกครองและทะเบียน,งานปกครอง,ก,1,17785200
70,สำนักงานเขตบางบอน,แผนงานบริหารงานปกครองและทะเบียน,งานทะเบียน,ก,2,6448700
70,สำนักงานเขตบางบอน,แผนงานบริหารการคลัง,งานบริหารการคลัง,ข,1,5578100
70,สำนักงานเขตบางบอน,แผนงานบริหารการคลัง,งานบริหารการจัดเก็บรายได้,ข,2,4971100
