หมายเลขงบ,ชื่องบ,ประเภทแผนงาน,dname,จำนวนรวม,หมายเลขงบแผนงาน,แผนงาน,งบแผนงาน,OBJECTID,AREA,dcode,dname_e,pcode,pname,num_male,num_female,num_school,num_hos,num_comm,num_temple,num_health
22,สำนักงานเขตป้อมปราบศัตรูพ่าย,อนามัย/สาธารณะสุข,ป้อมปราบศัตรูพ่าย,252196000,,งานควบคุมอนามัย,6204100,43.0,2504113.0,1008.0,Pom Prap Sattru Phai,10.0,กรุงเทพมหานคร,24786.0,26144.0,4.0,1.0,15.0,11.0,1.0
22,สำนักงานเขตป้อมปราบศัตรูพ่าย,พัฒนาชุมชน/อาชีพ,ป้อมปราบศัตรูพ่าย,252196000,ซ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน,13499900,43.0,2504113.0,1008.0,Pom Prap Sattru Phai,10.0,กรุงเทพมหานคร,24786.0,26144.0,4.0,1.0,15.0,11.0,1.0
23,สำนักงานเขตสัมพันธวงศ์,น้ำท่วม/ทางเท้า,สัมพันธวงศ์,208176600,,งานการระบายน้ำและแก้ไขปัญหาน้ำท่วม,5733600,50.0,1392972.75,1013.0,Samphanthawong,10.0,กรุงเทพมหานคร,13317.0,14109.0,3.0,0.0,19.0,13.0,1.0
23,สำนักงานเขตสัมพันธวงศ์,สิ่งแวดล้อม,สัมพันธวงศ์,208176600,ช,แผนงานพัฒนาสภาวะส่ิงแวดล้อม: งานปลูกและบำรุงรักษาต้นไม้,7788100,50.0,1392972.75,1013.0,Samphanthawong,10.0,กรุงเทพมหานคร,13317.0,14109.0,3.0,0.0,19.0,13.0,1.0
23,สำนักงานเขตสัมพันธวงศ์,ทั่วไป/บริหาร/อื่นๆ,สัมพันธวงศ์,208176600,ก,แผนงานบริหารงานปกครองและทะเบียน,27048900,50.0,1392972.75,1013.0,Samphanthawong,10.0,กรุงเทพมหานคร,13317.0,14109.0,3.0,0.0,19.0,13.0,1.0
23,สำนักงานเขตสัมพันธวงศ์,การคลัง,สัมพันธวงศ์,208176600,ข,แผนงานบริหารการคลัง,10521800,50.0,1392972.75,1013.0,Samphanthawong,10.0,กรุงเทพมหานคร,13317.0,14109.0,3.0,0.0,19.0,13.0,1.0
23,สำนักงานเขตสัมพันธวงศ์,การศึกษา,สัมพันธวงศ์,208176600,ญ,แผนงานบริหารการศึกษา,16903300,50.0,1392972.75,1013.0,Samphanthawong,10.0,กรุงเทพมหานคร,13317.0,14109.0,3.0,0.0,19.0,13.0,1.0
23,สำนักงานเขตสัมพันธวงศ์,พัฒนาชุมชน/อาชีพ,สัมพันธวงศ์,208176600,ซ,แผนงานพัฒนาชุมชน: งานพัฒนาชุมชน,16113300,50.0,1392972.75,1013.0,Samphanthawong,10.0,กรุงเทพมหานคร,13317.0,14109.0,3.0,0.0,19.0,13.0,1.0
23,สำนักงานเขตสัมพันธวงศ์,เทศกิจ/รักษาความสะอาด,สัมพันธวงศ์,208176600,ค,แผนงานรักษาความสะอาด: งานรักษาความสะอาด,76505600,50.0,1392972.75,1013.0,Samphanthawong,10.0,กรุงเทพมหานคร,13317.0,14109.0,3.0,0.0,19.0,13.0,1.0
23,สำนักงานเขตสัมพันธวงศ์,เทศกิจ/รักษาความสะอาด,สัมพันธวงศ์,208176600,ง,แผนงานรักษาความเป็นระเบียบเรียบร้อย: งานบริหารและบังคับการเทศกิจ,22271700,50.0,1392972.75,1013.0,Samphanthawong,10.0,กรุงเทพมหานคร,13317.0,14109.0,3.0,0.0,19.0,13.0,1.0
