หมายเลขงบ,ชื่องบ,จำนวนรวม,หมายเลขงบแผนงาน,งบแผนงาน,ประเภทแผนงาน,แผนงาน
11,สำนักการคลัง,3606450400,ก,21528800,ทั่วไป/บริหาร/อื่นๆ,แผนงานบริหารท่ัวไป: งานบริหารท่ัวไป
11,สำนักการคลัง,3606450400,ข,3230030900,การคลัง,แผนงานบริหารการคลัง
11,สำนักการคลัง,3606450400,ค,354890700,ทั่วไป/บริหาร/อื่นๆ,แผนงานส่งเสริมระบบบริหาร
12,สำนักเทศกิจ,184580000,,184580000,ทั่วไป/บริหาร/อื่นๆ,รายจ่ายประจำ
12,สำนักเทศกิจ,184580000,ก,40694400,เทศกิจ/รักษาความสะอาด,แผนงานบริหารท่ัวไป: งานบริหารท่ัวไปด้านการรักษาความสะอาด
12,สำนักเทศกิจ,184580000,ข,27442200,ทั่วไป/บริหาร/อื่นๆ,แผนงานส่งเสริมระบบบริหาร: งานศูนย์วิทยุสื่อสารกรุงเทพมหานคร
12,สำนักเทศกิจ,184580000,ค,12513700,ทั่วไป/บริหาร/อื่นๆ,แผนงานพัฒนาและส่งเสริม: งานนโยบายและแผนงาน
12,สำนักเทศกิจ,184580000,ง,103929700,ทั่วไป/บริหาร/อื่นๆ,แผนงานรักษาความเป็นระเบียบเรียบร้อย
13,สำนักการจราจรและขนส่ง,4327231000,,4327231000,ทั่วไป/บริหาร/อื่นๆ,รายจ่ายประจำ
13,สำนักการจราจรและขนส่ง,4327231000,ก,26537900,ทั่วไป/บริหาร/อื่นๆ,แผนงานบริหารท่ัวไป: งานบริหารท่ัวไปด้านการโยธาและระบบจราจร
13,สำนักการจราจรและขนส่ง,4327231000,ข,4300693100,ทั่วไป/บริหาร/อื่นๆ,แผนงานพัฒนาการใช้ท่ีดินและระบบจราจร
13,สำนักการจราจรและขนส่ง,4327231000,,923119000,โยธา/ก่อสร้าง/จราจร,สายไฟฟ้าอากาศเป็นสายไฟฟ้าใต้ดินของการไฟฟ้านครหลวง บริเวณถนนรัชดาภิเษก - ถนนพระราม  และบริเวณถนนรัชดาภิเษก - ถนนอโศก
13,สำนักการจราจรและขนส่ง,4327231000,,12302200,พัฒนาชุมชน/อาชีพ,ต่อการเกิดอาชญากรรมในพื้นท่ีกลุ่มกรุงเทพตะวันออก
14,สำนักป้องกันและบรรเทาสาธารณภัย,424927020,,424927020,ทั่วไป/บริหาร/อื่นๆ,รายจ่ายประจำ
14,สำนักป้องกันและบรรเทาสาธารณภัย,424927020,ก,48956100,พัฒนาชุมชน/อาชีพ,แผนงานบริหารท่ัวไป: งานบริหารท่ัวไปด้านการพัฒนาและบริการสังคม
14,สำนักป้องกันและบรรเทาสาธารณภัย,424927020,ข,375970920,พัฒนาชุมชน/อาชีพ,แผนงานป้องกันและบรรเทาสาธารณภัย
15,สำนักงบประมาณกรุงเทพมหานคร,103406000,,103406000,ทั่วไป/บริหาร/อื่นๆ,รายจ่ายประจำ
